category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
adjective,cost,expensive,Costing a lot of money.,caro,KAH-roh,singular,n/a,masculine,1,adjective,n/a,This item is expensive.,,,n/a
adjective,cost,expensive,Costing a lot of money.,cara,KAH-roh,singular,n/a,feminine,1,adjective,n/a,This item is expensive.,,,n/a
adjective,cost,expensive,Costing a lot of money.,cari,KAH-roh,plural,n/a,masculine,1,adjective,n/a,This item is expensive.,,,n/a
adjective,cost,expensive,Costing a lot of money.,care,KAH-roh,plural,n/a,feminine,1,adjective,n/a,This item is expensive.,,,n/a
adjective,cost,cheap,Low in price or cost.,economico,eh-koh-NOH-mee-koh,singular,n/a,masculine,1,adjective,n/a,This item is cheap.,,,n/a
adjective,cost,cheap,Low in price or cost.,economica,eh-koh-NOH-mee-koh,singular,n/a,feminine,1,adjective,n/a,This item is cheap.,,,n/a
adjective,cost,cheap,Low in price or cost.,economici,eh-koh-NOH-mee-koh,plural,n/a,masculine,1,adjective,n/a,This item is cheap.,,,n/a
adjective,cost,cheap,Low in price or cost.,economiche,eh-koh-NOH-mee-koh,plural,n/a,feminine,1,adjective,n/a,This item is cheap.,,,n/a
adjective,cost,free,Costing no money.,gratuito,grah-TWEE-toh,singular,n/a,masculine,1,adjective,n/a,This item is free.,,,n/a
adjective,cost,free,Costing no money.,gratuita,grah-TWEE-toh,singular,n/a,feminine,1,adjective,n/a,This item is free.,,,n/a
adjective,cost,free,Costing no money.,gratuiti,grah-TWEE-toh,plural,n/a,masculine,1,adjective,n/a,This item is free.,,,n/a
adjective,cost,free,Costing no money.,gratuite,grah-TWEE-toh,plural,n/a,feminine,1,adjective,n/a,This item is free.,,,n/a
adjective,cost,affordable,Inexpensive; reasonably priced.,abbordabile,ahb-bor-DAH-bee-leh,singular,n/a,masculine,1,adjective,n/a,This item is affordable.,,,n/a
adjective,cost,affordable,Inexpensive; reasonably priced.,abbordabile,ahb-bor-DAH-bee-leh,singular,n/a,feminine,1,adjective,n/a,This item is affordable.,,,n/a
adjective,cost,affordable,Inexpensive; reasonably priced.,abbordabili,ahb-bor-DAH-bee-leh,plural,n/a,masculine,1,adjective,n/a,This item is affordable.,,,n/a
adjective,cost,affordable,Inexpensive; reasonably priced.,abbordabili,ahb-bor-DAH-bee-leh,plural,n/a,feminine,1,adjective,n/a,This item is affordable.,,,n/a
adjective,cost,reasonable,Fair and not too expensive.,ragionevole,rah-joh-NEH-voh-leh,singular,n/a,masculine,1,adjective,n/a,This item is reasonable.,,,n/a
adjective,cost,reasonable,Fair and not too expensive.,ragionevole,rah-joh-NEH-voh-leh,singular,n/a,feminine,1,adjective,n/a,This item is reasonable.,,,n/a
adjective,cost,reasonable,Fair and not too expensive.,ragionevoli,rah-joh-NEH-voh-leh,plural,n/a,masculine,1,adjective,n/a,This item is reasonable.,,,n/a
adjective,cost,reasonable,Fair and not too expensive.,ragionevoli,rah-joh-NEH-voh-leh,plural,n/a,feminine,1,adjective,n/a,This item is reasonable.,,,n/a
adjective,cost,costly,Involving great expense.,oneroso,oh-neh-ROH-zoh,singular,n/a,masculine,1,adjective,n/a,This item is costly.,,,n/a
adjective,cost,costly,Involving great expense.,onerosa,oh-neh-ROH-zoh,singular,n/a,feminine,1,adjective,n/a,This item is costly.,,,n/a
adjective,cost,costly,Involving great expense.,onerosi,oh-neh-ROH-zoh,plural,n/a,masculine,1,adjective,n/a,This item is costly.,,,n/a
adjective,cost,costly,Involving great expense.,onerosi,oh-neh-ROH-zoh,plural,n/a,feminine,1,adjective,n/a,This item is costly.,,,n/a
adjective,cost,valuable,Worth a lot of money.,prezioso,preh-TSYOH-zoh,singular,n/a,masculine,1,adjective,n/a,This item is valuable.,,,n/a
adjective,cost,valuable,Worth a lot of money.,preziosa,preh-TSYOH-zoh,singular,n/a,feminine,1,adjective,n/a,This item is valuable.,,,n/a
adjective,cost,valuable,Worth a lot of money.,preziosi,preh-TSYOH-zoh,plural,n/a,masculine,1,adjective,n/a,This item is valuable.,,,n/a
