english,italian,english_base_word

### Verbs ###
to be,essere,be
I am,io sono,be
you are (familiar),tu sei,be
you are (polite),Lei è,be
we are,noi siamo,be
you (plural) are,voi siete,be
they are,loro sono,be

to want,voglere,want
I want,io voglio,want
you want (familiar),tu vuoi,want
you want (polite),Lei vuole,want
we want,noi vogliamo,want
you (plural) want,voi volete,want
they want,loro vogliono,want

I have,io ho,have
you have (familiar),tu hai,have
you have (polite),Lei ha,have
we have,noi abbiamo,have
you (plural) have,voi avete,have
they have,loro hanno,have

I understand,io capisco,understand
you understand (familiar),tu capisci,understand
you understand (polite),Lei capisce,understand
we understand,noi capiamo,understand
you (plural) understand,voi capite,understand
they understand,loro capiscono,understand

### Questions ###
where,dove,where
how much,quanto,how much

### Nouns ###
toilet,bagno,toilet
cost,costa,cost
time / hour,ora,time / hour
