category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_word
noun,drinks,the water,drinking liquid,l'acqua,LAHK-kwah,singular,,feminine,1,noun,,The water is cold.,L'acqua è fredda.,acqua naturale,definite,acqua
noun,drinks,water,drinking liquid,acqua,AHK-kwah,singular,,feminine,1,noun,,Water is essential.,Acqua è essenziale.,acqua naturale,,acqua
noun,drinks,the still water,non-sparkling water,l'acqua naturale,LAHK-kwah nah-too-RAH-leh,singular,,feminine,1,noun,,The still water is on the table.,L'acqua naturale è sul tavolo.,acqua,definite,acqua naturale
noun,drinks,still water,non-sparkling water,acqua naturale,AHK-kwah nah-too-RAH-leh,singular,,feminine,1,noun,,Still water costs one euro.,Acqua naturale costa un euro.,acqua,,acqua naturale
noun,drinks,the sparkling water,carbonated water,l'acqua frizzante,LAHK-kwah freet-ZAN-teh,singular,,feminine,1,noun,,The sparkling water has fine bubbles.,L'acqua frizzante ha bollicine fini.,acqua gasata,definite,acqua frizzante
noun,drinks,sparkling water,carbonated water,acqua frizzante,AHK-kwah freet-ZAN-teh,singular,,feminine,1,noun,,Sparkling water is popular here.,Acqua frizzante è popolare qui.,acqua gasata,,acqua frizzante
noun,drinks,the coffee,caffeinated drink,il caffè,EEL kah-FEH,singular,,masculine,1,noun,,The coffee smells strong.,Il caffè ha un aroma intenso.,espresso,definite,caffè
noun,drinks,coffee,caffeinated drink,caffè,kah-FEH,singular,,masculine,1,noun,,Coffee wakes me up.,Caffè mi sveglia.,espresso,,caffè
noun,drinks,a coffee,cup of coffee,un caffè,OON kah-FEH,singular,,masculine,1,noun,,Can I have a coffee?,Posso avere un caffè?,espresso,indefinite,caffè
noun,drinks,the espresso,small strong coffee,l'espresso,leh-SPRESS-soh,singular,,masculine,1,noun,,The espresso is ready.,L'espresso è pronto.,caffè,definite,espresso
noun,drinks,an espresso,small strong coffee,un espresso,OON es-PRESS-soh,singular,,masculine,1,noun,,I ordered an espresso.,Ho ordinato un espresso.,caffè,indefinite,espresso
noun,drinks,the cappuccino,coffee with milk foam,il cappuccino,EEL kahp-poo-CHEE-noh,singular,,masculine,1,noun,,The cappuccino costs two euros.,Il cappuccino costa due euro.,cappuccio,definite,cappuccino
noun,drinks,a cappuccino,coffee with milk foam,un cappuccino,OON kahp-poo-CHEE-noh,singular,,masculine,1,noun,,She sipped a cappuccino.,Ha sorseggiato un cappuccino.,cappuccio,indefinite,cappuccino
noun,drinks,the tea,hot brewed drink,il tè,EEL TEH,singular,,masculine,1,noun,,The tea is green.,Il tè è verde.,infuso,definite,tè
noun,drinks,tea,hot brewed drink,tè,TEH,singular,,masculine,1,noun,,Tea calms me.,Tè mi calma.,infuso,,tè
noun,drinks,a tea,hot brewed drink,un tè,OON TEH,singular,,masculine,1,noun,,I’d like a tea please.,Vorrei un tè per favore.,infuso,indefinite,tè
noun,drinks,the herbal tea,caffeine-free infusion,la tisana,LA tee-ZAH-nah,singular,,feminine,2,noun,,The herbal tea helps digestion.,La tisana aiuta la digestione.,infuso,definite,tisana
noun,drinks,an herbal tea,caffeine-free infusion,una tisana,OO-nah tee-ZAH-nah,singular,,feminine,2,noun,,She ordered an herbal tea.,Ha ordinato una tisana.,infuso,indefinite,tisana
noun,drinks,the juice,fruit drink,il succo,EEL SOOK-koh,singular,,masculine,1,noun,,The juice is fresh.,Il succo è fresco.,spremuta,definite,succo
noun,drinks,a juice,fruit drink,un succo,OON SOOK-koh,singular,,masculine,1,noun,,I want a juice to go.,Voglio un succo da asporto.,spremuta,indefinite,succo
noun,drinks,the orange juice,citrus juice,il succo d'arancia,EEL SOOK-koh dah-RAHN-chah,singular,,masculine,1,noun,,The orange juice is sweet.,Il succo d'arancia è dolce.,spremuta d'arancia,definite,succo d'arancia
noun,drinks,an orange juice,citrus juice,un succo d'arancia,OON SOOK-koh dah-RAHN-chah,singular,,masculine,1,noun,,I ordered an orange juice.,Ho ordinato un succo d'arancia.,spremuta d'arancia,indefinite,succo d'arancia
noun,drinks,the wine,alcoholic grape drink,il vino,EEL VEE-noh,singular,,masculine,1,noun,,The wine is from Tuscany.,Il vino è toscano.,rosso,definite,vino
noun,drinks,wine,alcoholic grape drink,vino,VEE-noh,singular,,masculine,1,noun,,Wine pairs well with cheese.,Vino si abbina al formaggio.,bianco,,vino
noun,drinks,a glass of wine,serving of wine,un bicchiere di vino,OON bee-KYEH-reh dee VEE-noh,singular,,masculine,1,noun,,I’d like a glass of wine.,Vorrei un bicchiere di vino.,calice,indefinite,bicchiere di vino
noun,drinks,the red wine,red grape wine,il vino rosso,EEL VEE-noh ROHS-soh,singular,,masculine,1,noun,,The red wine is full-bodied.,Il vino rosso è corposo.,rosso,definite,vino rosso
noun,drinks,the white wine,white grape wine,il vino bianco,EEL VEE-noh BYAHN-koh,singular,,masculine,1,noun,,The white wine is chilled.,Il vino bianco è fresco.,bianco,definite,vino bianco
noun,drinks,the beer,fermented barley drink,la birra,LA BEER-rah,singular,,feminine,1,noun,,The beer is cold.,La birra è fredda.,bionda,definite,birra
