category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
noun,people,a man,An adult male human.,un uomo,oon WOH-moh,singular,n/a,masculine,1,noun,n/a,The man is talking on the phone.,L’uomo sta parlando al telefono.,"maschio, adulto, persona",indefinite
noun,people,the man,An adult male human.,l’uomo,looh-OH-moh,singular,n/a,masculine,1,noun,n/a,The man is talking on the phone.,L’uomo sta parlando al telefono.,"maschio, adulto, persona",definite
noun,people,the mans,An adult male human.,gli uomini,lyee WOH-mee-nee,plural,n/a,masculine,1,noun,n/a,The man is talking on the phone.,L’uomo sta parlando al telefono.,"maschio, adulto, persona",definite
noun,people,a woman,An adult female human.,una donna,OO-nah DOHN-nah,singular,n/a,feminine,1,noun,n/a,The woman is wearing a hat.,La donna indossa un cappello.,"femmina, adulta, persona",indefinite
noun,people,the woman,An adult female human.,la donna,lah DOHN-nah,singular,n/a,feminine,1,noun,n/a,The woman is wearing a hat.,La donna indossa un cappello.,"femmina, adulta, persona",definite
noun,people,the womans,An adult female human.,le donne,lay DOHN-neh,plural,n/a,feminine,1,noun,n/a,The woman is wearing a hat.,La donna indossa un cappello.,"femmina, adulta, persona",definite
noun,people,a child,A young human being.,un bambino,oon bahm-BEE-no,singular,n/a,masculine,1,noun,n/a,The child is playing in the park.,Il bambino gioca al parco.,"ragazzo, piccolo, gioco",indefinite
noun,people,the child,A young human being.,il bambino,eel bahm-BEE-no,singular,n/a,masculine,1,noun,n/a,The child is playing in the park.,Il bambino gioca al parco.,"ragazzo, piccolo, gioco",definite
noun,people,the childs,A young human being.,i bambini,ee bahm-BEE-nee,plural,n/a,masculine,1,noun,n/a,The child is playing in the park.,Il bambino gioca al parco.,"ragazzo, piccolo, gioco",definite
noun,people,a girl,A female child.,una bambina,OO-nah bahm-BEE-nah,singular,n/a,feminine,1,noun,n/a,The girl is reading a book.,La bambina legge un libro.,"giovane, figlia, studentessa",indefinite
noun,people,the girl,A female child.,la bambina,lah bahm-BEE-nah,singular,n/a,feminine,1,noun,n/a,The girl is reading a book.,La bambina legge un libro.,"giovane, figlia, studentessa",definite
noun,people,the girls,A female child.,le bambine,lay bahm-BEE-neh,plural,n/a,feminine,1,noun,n/a,The girl is reading a book.,La bambina legge un libro.,"giovane, figlia, studentessa",definite
noun,people,a boy,A male child.,un bambino,oon bahm-BEE-no,singular,n/a,masculine,1,noun,n/a,The boy is running.,Il bambino sta correndo.,"giovane, figlio, studente",indefinite
