category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
verb,emotions,to love,To have deep affection or strong emotional attachment.,amo,ah-MAH-reh,n/a,present,n/a,1,verb,n/a,To love in this situation.,,,n/a
verb,emotions,to love,To have deep affection or strong emotional attachment.,ho amato,ah-MAH-reh,n/a,past,n/a,1,verb,n/a,To love in this situation.,,,n/a
verb,emotions,to love,To have deep affection or strong emotional attachment.,amerò,ah-MAH-reh,n/a,future,n/a,1,verb,n/a,To love in this situation.,,,n/a
verb,emotions,to like,To enjoy or have a positive feeling about something.,mi piace,pyah-CHEH-reh,n/a,present,n/a,1,verb,n/a,To like in this situation.,,,n/a
verb,emotions,to like,To enjoy or have a positive feeling about something.,mi è piaciuto/a,pyah-CHEH-reh,n/a,past,n/a,1,verb,n/a,To like in this situation.,,,n/a
verb,emotions,to like,To enjoy or have a positive feeling about something.,mi piacerà,pyah-CHEH-reh,n/a,future,n/a,1,verb,n/a,To like in this situation.,,,n/a
verb,emotions,to hate,To strongly dislike something or someone.,odio,oh-DYAH-reh,n/a,present,n/a,1,verb,n/a,To hate in this situation.,,,n/a
verb,emotions,to hate,To strongly dislike something or someone.,ho odiato,oh-DYAH-reh,n/a,past,n/a,1,verb,n/a,To hate in this situation.,,,n/a
verb,emotions,to hate,To strongly dislike something or someone.,odierò,oh-DYAH-reh,n/a,future,n/a,1,verb,n/a,To hate in this situation.,,,n/a
verb,emotions,to enjoy,To take pleasure in something.,godo / mi diverto,goh-DEH-reh / dee-vehr-TEER-see,n/a,present,n/a,1,verb,n/a,To enjoy in this situation.,,,n/a
verb,emotions,to enjoy,To take pleasure in something.,ho goduto / mi sono divertito/a,goh-DEH-reh / dee-vehr-TEER-see,n/a,past,n/a,1,verb,n/a,To enjoy in this situation.,,,n/a
verb,emotions,to enjoy,To take pleasure in something.,godrò / mi divertirò,goh-DEH-reh / dee-vehr-TEER-see,n/a,future,n/a,1,verb,n/a,To enjoy in this situation.,,,n/a
verb,emotions,to worry,To feel anxious or uneasy about something.,mi preoccupo,preh-ohk-koo-PAHR-see,n/a,present,n/a,1,verb,n/a,To worry in this situation.,,,n/a
verb,emotions,to worry,To feel anxious or uneasy about something.,mi sono preoccupato/a,preh-ohk-koo-PAHR-see,n/a,past,n/a,1,verb,n/a,To worry in this situation.,,,n/a
verb,emotions,to worry,To feel anxious or uneasy about something.,mi preoccuperò,preh-ohk-koo-PAHR-see,n/a,future,n/a,1,verb,n/a,To worry in this situation.,,,n/a
verb,emotions,to feel,To experience an emotion or physical sensation.,sento,sen-TEE-reh,n/a,present,n/a,1,verb,n/a,To feel in this situation.,,,n/a
verb,emotions,to feel,To experience an emotion or physical sensation.,ho sentito,sen-TEE-reh,n/a,past,n/a,1,verb,n/a,To feel in this situation.,,,n/a
verb,emotions,to feel,To experience an emotion or physical sensation.,sentirò,sen-TEE-reh,n/a,future,n/a,1,verb,n/a,To feel in this situation.,,,n/a
verb,emotions,to cry,To shed tears due to emotion.,piango,PYAHN-jeh-reh,n/a,present,n/a,1,verb,n/a,To cry in this situation.,,,n/a
verb,emotions,to cry,To shed tears due to emotion.,ho pianto,PYAHN-jeh-reh,n/a,past,n/a,1,verb,n/a,To cry in this situation.,,,n/a
verb,emotions,to cry,To shed tears due to emotion.,piangerò,PYAHN-jeh-reh,n/a,future,n/a,1,verb,n/a,To cry in this situation.,,,n/a
verb,emotions,to laugh,To make a joyful sound due to amusement.,rido,REE-deh-reh,n/a,present,n/a,1,verb,n/a,To laugh in this situation.,,,n/a
