category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
noun,directions,a corner,a point where two streets meet,un angolo,oon AN-goh-lo,singular,n/a,masculine,1,noun,n/a,"There's a corner just ahead.","C'è un angolo proprio avanti.","spigolo",indefinite
noun,directions,the corner,a point where two streets meet,l'angolo,LAN-goh-lo,singular,n/a,masculine,1,noun,n/a,"The corner is very sharp.","L'angolo è molto stretto.","spigolo",definite
noun,directions,the corners,points where two streets meet,gli angoli,lyee AN-goh-lee,plural,n/a,masculine,1,noun,n/a,"The corners of the building are rounded.","Gli angoli dell’edificio sono arrotondati.","spigolo",definite
noun,directions,an intersection,a place where roads cross,un incrocio,oon in-KROH-cho,singular,n/a,masculine,1,noun,n/a,"Meet me at an intersection near the station.","Incontrami a un incrocio vicino alla stazione.","bivio",indefinite
noun,directions,the intersection,a place where roads cross,l'incrocio,lin-KROH-cho,singular,n/a,masculine,1,noun,n/a,"The intersection has a traffic light.","L'incrocio ha un semaforo.","bivio",definite
noun,directions,the intersections,places where roads cross,gli incroci,lyee in-KROH-chee,plural,n/a,masculine,1,noun,n/a,"The intersections are marked clearly.","Gli incroci sono segnalati chiaramente.","bivio",definite
noun,directions,a roundabout,a circular intersection,una rotonda,OO-nah roh-TON-dah,singular,n/a,feminine,2,noun,n/a,"Take the first exit at a roundabout.","Prendi la prima uscita a una rotonda.","rotatoria",indefinite
noun,directions,the roundabout,a circular intersection,la rotonda,lah roh-TON-dah,singular,n/a,feminine,2,noun,n/a,"The roundabout is busy at rush hour.","La rotonda è affollata nell'ora di punta.","rotatoria",definite
noun,directions,the roundabouts,circular intersections,le rotonde,leh roh-TON-deh,plural,n/a,feminine,3,noun,n/a,"The roundabouts in Rome can be tricky.","Le rotonde a Roma possono essere complicate.","rotatoria",definite
noun,directions,a bridge,a structure over water or road,un ponte,oon PON-teh,singular,n/a,masculine,1,noun,n/a,"There's a bridge over the river.","C'è un ponte sul fiume.","viadotto",indefinite
noun,directions,the bridge,a structure over water or road,il ponte,eel PON-teh,singular,n/a,masculine,1,noun,n/a,"The bridge is closed tonight.","Il ponte è chiuso stasera.","viadotto",definite
noun,directions,the bridges,structures over water or roads,i ponti,ee PON-tee,plural,n/a,masculine,1,noun,n/a,"The bridges are lit at night.","I ponti sono illuminati di notte.","viadotto",definite
noun,directions,a tunnel,an underground passage,un tunnel,oon TOON-nel,singular,n/a,masculine,2,noun,n/a,"We will pass through a tunnel.","Passeremo attraverso un tunnel.","galleria",indefinite
noun,directions,the tunnel,an underground passage,il tunnel,eel TOON-nel,singular,n/a,masculine,2,noun,n/a,"The tunnel is very long.","Il tunnel è molto lungo.","galleria",definite
