category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
noun,foods,a apple,"A round fruit with red, green, or yellow skin.",una mela,OO-nah MEH-lah,singular,n/a,feminine,1,noun,n/a,I eat an apple every day.,Mangio una mela ogni giorno.,"frutta, pera, succo",indefinite
noun,foods,the apple,"A round fruit with red, green, or yellow skin.",la mela,lah MEH-lah,singular,n/a,feminine,1,noun,n/a,I eat an apple every day.,Mangio una mela ogni giorno.,"frutta, pera, succo",definite
noun,foods,the apples,"A round fruit with red, green, or yellow skin.",le mele,lay MEH-leh,plural,n/a,feminine,1,noun,n/a,I eat an apple every day.,Mangio una mela ogni giorno.,"frutta, pera, succo",definite
noun,foods,a bread,A food made from flour and baked.,un pane,oon PAH-neh,singular,n/a,masculine,1,noun,n/a,The bread is fresh.,Il pane è fresco.,"forno, panino, crosta",indefinite
noun,foods,the bread,A food made from flour and baked.,il pane,eel PAH-neh,singular,n/a,masculine,1,noun,n/a,The bread is fresh.,Il pane è fresco.,"forno, panino, crosta",definite
noun,foods,the breads,A food made from flour and baked.,i pani,ee PAH-nee,plural,n/a,masculine,1,noun,n/a,The bread is fresh.,Il pane è fresco.,"forno, panino, crosta",definite
noun,foods,a cheese,A dairy product made from milk.,un formaggio,oon for-MAHJ-joh,singular,n/a,masculine,1,noun,n/a,This cheese is delicious.,Questo formaggio è delizioso.,"latte, mozzarella, pecorino",indefinite
noun,foods,the cheese,A dairy product made from milk.,il formaggio,eel for-MAHJ-joh,singular,n/a,masculine,1,noun,n/a,This cheese is delicious.,Questo formaggio è delizioso.,"latte, mozzarella, pecorino",definite
noun,foods,the cheeses,A dairy product made from milk.,i formaggi,ee for-MAHJ-jee,plural,n/a,masculine,1,noun,n/a,This cheese is delicious.,Questo formaggio è delizioso.,"latte, mozzarella, pecorino",definite
noun,foods,a pasta,"An Italian food made from wheat, often served with sauce.",una pasta,OO-nah PAHS-tah,singular,n/a,feminine,1,noun,n/a,I love Italian pasta.,Amo la pasta italiana.,"spaghetti, penne, sugo",indefinite
noun,foods,the pasta,"An Italian food made from wheat, often served with sauce.",la pasta,lah PAHS-tah,singular,n/a,feminine,1,noun,n/a,I love Italian pasta.,Amo la pasta italiana.,"spaghetti, penne, sugo",definite
noun,foods,the pastas,"An Italian food made from wheat, often served with sauce.",le paste,lay PAHS-teh,plural,n/a,feminine,1,noun,n/a,I love Italian pasta.,Amo la pasta italiana.,"spaghetti, penne, sugo",definite
noun,foods,a pizza,A baked flatbread with toppings like cheese and tomato.,una pizza,OO-nah PEET-tsah,singular,n/a,feminine,1,noun,n/a,We ordered a pizza.,Abbiamo ordinato una pizza.,"mozzarella, pomodoro, forno",indefinite
noun,foods,the pizza,A baked flatbread with toppings like cheese and tomato.,la pizza,lah PEET-tsah,singular,n/a,feminine,1,noun,n/a,We ordered a pizza.,Abbiamo ordinato una pizza.,"mozzarella, pomodoro, forno",definite
noun,foods,the pizzas,A baked flatbread with toppings like cheese and tomato.,le pizze,lay PEET-tseh,plural,n/a,feminine,1,noun,n/a,We ordered a pizza.,Abbiamo ordinato una pizza.,"mozzarella, pomodoro, forno",definite
noun,foods,a egg,"A round object laid by birds, eaten as food.",un uovo,oon WOH-voh,singular,n/a,"masculine (singular), feminine (plural)",1,noun,n/a,I boiled an egg.,Ho bollito un uovo.,"frittata, colazione, albume",indefinite
noun,foods,the egg,"A round object laid by birds, eaten as food.",l’uovo,looh-VOH-voh,singular,n/a,"masculine (singular), feminine (plural)",1,noun,n/a,I boiled an egg.,Ho bollito un uovo.,"frittata, colazione, albume",definite
noun,foods,the eggs,"A round object laid by birds, eaten as food.",le uova,lay WOH-vah,plural,n/a,"masculine (singular), feminine (plural)",1,noun,n/a,I boiled an egg.,Ho bollito un uovo.,"frittata, colazione, albume",definite
noun,foods,a salad,A cold dish of raw vegetables.,un'insalata,oon een-sah-LAH-tah,singular,n/a,feminine,1,noun,n/a,She made a salad.,Ha preparato un'insalata.,"lattuga, pomodoro, condimento",indefinite
noun,foods,the salad,A cold dish of raw vegetables.,l'insalata,leen-sah-LAH-tah,singular,n/a,feminine,1,noun,n/a,She made a salad.,Ha preparato un'insalata.,"lattuga, pomodoro, condimento",definite
noun,foods,the salads,A cold dish of raw vegetables.,le insalate,lay een-sah-LAH-teh,plural,n/a,feminine,1,noun,n/a,She made a salad.,Ha preparato un'insalata.,"lattuga, pomodoro, condimento",definite
noun,foods,a fish,An aquatic animal used as food.,un pesce,oon PEH-sheh,singular,n/a,masculine,1,noun,n/a,He ordered fish for dinner.,Ha ordinato il pesce per cena.,"trota, salmone, frutti di mare",indefinite
noun,foods,the fish,An aquatic animal used as food.,il pesce,eel PEH-sheh,singular,n/a,masculine,1,noun,n/a,He ordered fish for dinner.,Ha ordinato il pesce per cena.,"trota, salmone, frutti di mare",definite
noun,foods,the fishs,An aquatic animal used as food.,i pesci,ee PEH-shee,plural,n/a,masculine,1,noun,n/a,He ordered fish for dinner.,Ha ordinato il pesce per cena.,"trota, salmone, frutti di mare",definite
noun,foods,a meat,Animal flesh eaten as food.,una carne,OO-nah KAR-neh,singular,n/a,feminine,1,noun,n/a,Do you eat meat?,Mangi carne?,"manzo, pollo, maiale",indefinite
noun,foods,the meat,Animal flesh eaten as food.,la carne,lah KAR-neh,singular,n/a,feminine,1,noun,n/a,Do you eat meat?,Mangi carne?,"manzo, pollo, maiale",definite
noun,foods,the meats,Animal flesh eaten as food.,le carni,lay KAR-nee,plural,n/a,feminine,1,noun,n/a,Do you eat meat?,Mangi carne?,"manzo, pollo, maiale",definite
noun,foods,a carrot,An orange root vegetable.,una carota,OO-nah kah-ROH-tah,singular,n/a,feminine,2,noun,n/a,Rabbits love carrots.,I conigli amano le carote.,"verdura, radice, insalata",indefinite
noun,foods,the carrot,An orange root vegetable.,la carota,lah kah-ROH-tah,singular,n/a,feminine,2,noun,n/a,Rabbits love carrots.,I conigli amano le carote.,"verdura, radice, insalata",definite
noun,foods,the carrots,An orange root vegetable.,le carote,lay kah-ROH-teh,plural,n/a,feminine,2,noun,n/a,Rabbits love carrots.,I conigli amano le carote.,"verdura, radice, insalata",definite
noun,foods,a chicken,A type of poultry used as meat.,un pollo,oon POHL-loh,singular,n/a,masculine,1,noun,n/a,"I would like chicken, please.","Vorrei del pollo, per favore.","carne, pollo arrosto, petto di pollo",indefinite
noun,foods,the chicken,A type of poultry used as meat.,il pollo,eel POHL-loh,singular,n/a,masculine,1,noun,n/a,"I would like chicken, please.","Vorrei del pollo, per favore.","carne, pollo arrosto, petto di pollo",definite
noun,foods,the chickens,A type of poultry used as meat.,i polli,ee POHL-lee,plural,n/a,masculine,1,noun,n/a,"I would like chicken, please.","Vorrei del pollo, per favore.","carne, pollo arrosto, petto di pollo",definite
noun,foods,a rice,A small grain used as a food staple.,un riso,oon REE-zoh,singular,n/a,masculine,1,noun,n/a,Rice is common in Italian dishes.,Il riso è comune nei piatti italiani.,"cereale, risotto, pila",indefinite
noun,foods,the rice,A small grain used as a food staple.,il riso,eel REE-zoh,singular,n/a,masculine,1,noun,n/a,Rice is common in Italian dishes.,Il riso è comune nei piatti italiani.,"cereale, risotto, pila",definite
