category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type
noun,places,the city,large urban area,la città,lah chee-TAH,singular,n/a,feminine,1,noun,n/a,The city is beautiful at night.,La città è bellissima di notte.,metropoli,definite
noun,places,a city,large urban area,una città,OO-nah chee-TAH,singular,n/a,feminine,1,noun,n/a,We visited a city by the sea.,Abbiamo visitato una città sul mare.,metropoli,indefinite
noun,places,the cities,large urban areas,le città,leh chee-TAH,plural,n/a,feminine,1,noun,n/a,The cities are old and charming.,Le città sono antiche e affascinanti.,metropoli,definite
noun,places,the town,small town or village,il paese,eel pah-EH-zeh,singular,n/a,masculine,1,noun,n/a,The town is quiet in winter.,Il paese è tranquillo in inverno.,borgo,definite
noun,places,a town,small town or village,un paese,oon pah-EH-zeh,singular,n/a,masculine,1,noun,n/a,We drove through a town yesterday.,Abbiamo attraversato un paese ieri.,borgo,indefinite
noun,places,the towns,small towns or villages,i paesi,ee pah-EH-zee,plural,n/a,masculine,1,noun,n/a,The towns celebrate the festival.,I paesi festeggiano la sagra.,borghi,definite
noun,places,the street,road in a city,la strada,lah STRAH-dah,singular,n/a,feminine,1,noun,n/a,The street is narrow.,La strada è stretta.,via,definite
noun,places,a street,road in a city,una strada,OO-nah STRAH-dah,singular,n/a,feminine,1,noun,n/a,I found a street with many shops.,Ho trovato una strada con molti negozi.,via,indefinite
noun,places,the streets,roads in a city,le strade,leh STRAH-deh,plural,n/a,feminine,1,noun,n/a,The streets are crowded today.,Le strade sono affollate oggi.,vie,definite
noun,places,the square,public town square,la piazza,lah pyaht-TSAH,singular,n/a,feminine,1,noun,n/a,The square is full of people.,La piazza è piena di gente.,piazzetta,definite
noun,places,a square,public town square,una piazza,OO-nah pyaht-TSAH,singular,n/a,feminine,1,noun,n/a,Let's meet at a square near the river.,Incontriamoci in una piazza vicino al fiume.,piazzetta,indefinite
noun,places,the squares,public town squares,le piazze,leh pyaht-TSEH,plural,n/a,feminine,1,noun,n/a,The squares host concerts in summer.,Le piazze ospitano concerti in estate.,piazzette,definite
noun,places,the park,public green area,il parco,eel PAR-koh,singular,n/a,masculine,1,noun,n/a,The park opens at eight.,Il parco apre alle otto.,giardino,definite
noun,places,a park,public green area,un parco,oon PAR-koh,singular,n/a,masculine,1,noun,n/a,We picnicked in a park.,Abbiamo fatto un picnic in un parco.,giardino,indefinite
noun,places,the parks,public green areas,i parchi,ee PAR-kee,plural,n/a,masculine,1,noun,n/a,The parks are green and clean.,I parchi sono verdi e puliti.,giardini,definite
noun,places,the museum,place to see art,il museo,eel moo-ZEH-oh,singular,n/a,masculine,2,noun,n/a,The museum closes on Monday.,Il museo chiude il lunedì.,galleria,definite
noun,places,a museum,place to see art,un museo,oon moo-ZEH-oh,singular,n/a,masculine,2,noun,n/a,I want to see a museum today.,Voglio vedere un museo oggi.,galleria,indefinite
noun,places,the museums,places to see art,i musei,ee moo-ZEH-ee,plural,n/a,masculine,2,noun,n/a,The museums are famous worldwide.,I musei sono famosi in tutto il mondo.,gallerie,definite
noun,places,the church,religious building,la chiesa,lah KYEH-zah,singular,n/a,feminine,1,noun,n/a,The church was built in 1600.,La chiesa è stata costruita nel 1600.,basilica,definite
